criterion_id,exact_criterion_name,category,max_score,status_to_score_rule,publication_friendly_label,PASS_count,PARTIAL_count,FAIL_count,NOT_MEASURABLE_count,mean_score,normalized_mean
C1.1,"HTTPS Enforcement","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","HTTPS Protocol Enforcement",100,0,0,0,2.0,100.0
C1.2,"Direct HTTP 200 Status","Technical Search Readiness",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Direct Unredirected HTTP 200 Response",98,2,0,0,1.96,98.0
C1.3,"robots.txt File Accessibility","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","robots.txt File Accessibility",100,0,0,0,2.0,100.0
C1.4,"XML Sitemap Access & Declaration","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","XML Sitemap Access & Declaration",95,0,5,0,1.90,95.0
C1.5,"Canonical Tag Implementation","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","Canonical Tag Implementation",98,0,2,0,1.96,98.0
C1.6,"Indexability Meta Robots Directive","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","Indexability Meta Directive",100,0,0,0,2.0,100.0
C1.7,"Mobile Viewport Meta Tag","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","Mobile Viewport Meta Tag",100,0,0,0,2.0,100.0
C1.8,"Crawlable HTML Navigation","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","Crawlable HTML Navigation Links",99,0,1,0,1.98,99.0
C1.9,"Core Content HTML Rendering","Technical Search Readiness",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Core Server HTML Rendering",88,12,0,0,1.76,88.0
C1.10,"Clean Error Response","Technical Search Readiness",2.0,"PASS=2.0 | FAIL=0.0","Clean Server Error Handling",95,0,5,0,1.90,95.0
C2.1,"OAI-SearchBot Access","AI Discovery Accessibility",2.0,"PASS=2.0 | FAIL=0.0","OAI-SearchBot Permission Rules",100,0,0,0,2.0,100.0
C2.2,"PerplexityBot Access","AI Discovery Accessibility",2.0,"PASS=2.0 | FAIL=0.0","PerplexityBot Permission Rules",100,0,0,0,2.0,100.0
