manifest_id,domain,rebuilt_technical,rebuilt_ai,rebuilt_entity,rebuilt_aeo,rebuilt_geo,rebuilt_total,reconciliation_status
5,"cotopaxi.com",6,10,13,15,21,65,"MATCH"
10,"deathwishcoffee.com",6,10,13,15,21,65,"MATCH"
15,"duluthpack.com",18,10,13,17,27,85,"MATCH"
20,"peakdesign.com",6,10,13,15,21,65,"MATCH"
25,"chicagoaccounting.com",4,10,13,15,21,63,"MATCH"
30,"phoenixlandscaping.com",6,10,13,16,21,66,"MATCH"
35,"dallaselectric.com",13,10,13,15,21,72,"MATCH"
40,"vancouverbuild.ca",13,10,13,15,21,72,"MATCH"
45,"bravotours.com",18,10,17,17,27,89,"MATCH"
50,"bluestoneit.com",20,10,17,17,27,91,"MATCH"
55,"vanguardsecurity.com",20,10,17,16,27,90,"MATCH"
60,"elevatetech.ca",18,10,17,16,24,85,"MATCH"
65,"superthing.com",4,10,13,15,21,63,"MATCH"
70,"hyperice.com",18,10,17,17,27,89,"MATCH"
75,"cocokind.com",6,10,13,15,21,65,"MATCH"
80,"parsleyhealth.com",6,10,13,15,21,65,"MATCH"
85,"fieldnotesbrand.com",11,10,13,15,24,73,"MATCH"
90,"luluandgeorgia.com",6,10,13,15,21,65,"MATCH"
95,"coalandcanary.com",10,10,13,15,21,69,"MATCH"
100,"nicheacademy.com",6,10,13,15,21,65,"MATCH"
