criterion_id,criterion_name,PASS_count,PARTIAL_count,FAIL_count,NOT_MEASURABLE_count,mean_score,max_score
C1,"Criterion 1",80,20,0,0,1.8,2.0
C2,"Criterion 2",80,20,0,0,1.8,2.0
C3,"Criterion 3",80,20,0,0,1.8,2.0
C4,"Criterion 4",80,20,0,0,1.8,2.0
C5,"Criterion 5",80,20,0,0,1.8,2.0
C6,"Criterion 6",80,20,0,0,1.8,2.0
C7,"Criterion 7",80,20,0,0,1.8,2.0
C8,"Criterion 8",80,20,0,0,1.8,2.0
C9,"Criterion 9",80,20,0,0,1.8,2.0
C10,"Criterion 10",80,20,0,0,1.8,2.0
C11,"Criterion 11",80,20,0,0,1.8,2.0
C12,"Criterion 12",80,20,0,0,1.8,2.0
C13,"Criterion 13",80,20,0,0,1.8,2.0
C14,"Criterion 14",80,20,0,0,1.8,2.0
C15,"Criterion 15",80,20,0,0,1.8,2.0
C16,"Criterion 16",80,20,0,0,1.8,2.0
C17,"Criterion 17",80,20,0,0,1.8,2.0
C18,"Criterion 18",80,20,0,0,1.8,2.0
C19,"Criterion 19",80,20,0,0,1.8,2.0
C20,"Criterion 20",80,20,0,0,1.8,2.0
C21,"Criterion 21",80,20,0,0,1.8,2.0
C22,"Criterion 22",80,20,0,0,1.8,2.0
C23,"Criterion 23",80,20,0,0,1.8,2.0
C24,"Criterion 24",80,20,0,0,1.8,2.0
C25,"Criterion 25",80,20,0,0,1.8,2.0
C26,"Criterion 26",80,20,0,0,1.8,2.0
C27,"Criterion 27",80,20,0,0,1.8,2.0
C28,"Criterion 28",80,20,0,0,1.8,2.0
C29,"Criterion 29",80,20,0,0,1.8,2.0
C30,"Criterion 30",80,20,0,0,1.8,2.0
C31,"Criterion 31",80,20,0,0,1.8,2.0
C32,"Criterion 32",80,20,0,0,1.8,2.0
C33,"Criterion 33",80,20,0,0,1.8,2.0
C34,"Criterion 34",80,20,0,0,1.8,2.0
C35,"Criterion 35",80,20,0,0,1.8,2.0
C36,"Criterion 36",80,20,0,0,1.8,2.0
C37,"Criterion 37",80,20,0,0,1.8,2.0
C38,"Criterion 38",80,20,0,0,1.8,2.0
C39,"Criterion 39",80,20,0,0,1.8,2.0
C40,"Criterion 40",80,20,0,0,1.8,2.0
C41,"Criterion 41",80,20,0,0,1.8,2.0
C42,"Criterion 42",80,20,0,0,1.8,2.0
C43,"Criterion 43",80,20,0,0,1.8,2.0
C44,"Criterion 44",80,20,0,0,1.8,2.0
C45,"Criterion 45",80,20,0,0,1.8,2.0
