batch,manifest_id,domain,rebuilt_technical,rebuilt_ai,rebuilt_entity,rebuilt_aeo,rebuilt_geo,rebuilt_total,reconciliation_status
1,1,"brooklyncandlestudio.com",20,8,18,17,28.5,91.5,"MATCH"
1,6,"rumpl.com",6,8,6,5,15,40,"MATCH"
1,11,"ballandbuck.com",3,8,6,5,15,37,"MATCH"
1,16,"tentree.ca",6,8,6,5,15,40,"MATCH"
1,21,"apexroofingus.com",3,8,6,5,15,37,"MATCH"
1,26,"bostonlegal.com",3,8,6,5,15,37,"MATCH"
1,31,"portlandremodel.com",3,8,6,5,15,37,"MATCH"
1,36,"detroitauto.com",15,10,6,5,15,51,"MATCH"
1,41,"singlegrain.com",10,6,6,5,15,42,"MATCH"
1,46,"growthrock.co",18,10,16,13,27,84,"MATCH"
1,51,"ironcladlogistics.com",15,10,6,5,15,51,"MATCH"
1,56,"catalystmedia.com",15,10,6,5,15,51,"MATCH"
1,66,"functionofbeauty.com",20,6,17,16,27,86,"MATCH"
1,71,"therabody.com",6,8,6,5,15,40,"MATCH"
1,76,"moonjuice.com",20,8,17,16,24,85,"MATCH"
1,81,"feltedsky.com",20,8,18,16,24,86,"MATCH"
1,86,"bestmadeco.com",3,8,6,5,15,37,"MATCH"
1,91,"mcgeeandco.com",6,8,6,5,15,40,"MATCH"
1,96,"baronfig.com",3,8,6,5,15,37,"MATCH"
1,61,"superthing.com",4,10,17,16,27,74,"MATCH"
2,2,"pioneercarry.com",18,10,19,17,27,91,"MATCH"
2,7,"ridge.com",10,10,13,17,21,71,"MATCH"
2,12,"goruck.com",6,10,13,15,21,65,"MATCH"
2,17,"kotn.com",20,10,17,15,27,89,"MATCH"
2,22,"gothamchimney.com",4,10,13,15,21,63,"MATCH"
2,27,"miamidesignbuild.com",11,10,13,15,21,70,"MATCH"
2,32,"atlantaaccounting.com",13,10,13,15,21,72,"MATCH"
2,37,"sandiegopets.com",6,10,13,15,21,65,"MATCH"
2,42,"fostertechnologies.com",6,10,13,15,21,65,"MATCH"
2,47,"metalab.com",4,10,13,16,21,64,"MATCH"
2,52,"apexstaffing.com",4,10,13,15,21,63,"MATCH"
2,57,"nexusprinting.com",6,10,13,15,21,65,"MATCH"
2,62,"ritual.com",18,10,17,17,24,86,"MATCH"
2,67,"floretflowers.com",6,10,13,16,21,66,"MATCH"
2,72,"kosas.com",20,10,19,16,27,92,"MATCH"
2,77,"goodnessme.ca",20,10,17,16,27,90,"MATCH"
2,82,"makerhouse.com",20,10,19,16,27,92,"MATCH"
2,87,"blackwing602.com",20,10,19,16,27,92,"MATCH"
2,92,"jaysonhome.com",6,10,13,15,21,65,"MATCH"
2,97,"adafruit.com",6,10,13,15,21,65,"MATCH"
3,3,"blueland.com",6,10,13,15,21,65,"MATCH"
3,8,"topodesigns.com",20,10,19,16,27,92,"MATCH"
3,13,"goosecreekcandle.com",6,10,13,15,21,65,"MATCH"
3,19,"tactileturn.com",20,10,17,17,27,91,"MATCH"
3,23,"greenwaylaw.com",6,10,13,15,21,65,"MATCH"
3,28,"denverrealtygroup.com",13,10,13,15,21,72,"MATCH"
3,33,"phillydentist.com",4,10,13,15,21,63,"MATCH"
3,38,"nashvilleevents.com",4,10,13,15,21,63,"MATCH"
3,43,"animalz.co",6,10,13,16,21,66,"MATCH"
3,48,"barrelny.com",6,10,13,16,21,66,"MATCH"
3,53,"summitpr.com",18,10,15,17,21,81,"MATCH"
3,58,"tridentcompliance.com",6,10,13,15,21,65,"MATCH"
