manifest_id,domain,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score
1,"brooklyncandlestudio.com",20,8,18,17,28.5,91.5
2,"pioneercarry.com",18,10,19,17,27,91
3,"blueland.com",6,10,13,15,21,65
6,"rumpl.com",6,8,6,5,15,40
7,"ridge.com",10,10,13,17,21,71
8,"topodesigns.com",20,10,19,16,27,92
11,"ballandbuck.com",3,8,6,5,15,37
12,"goruck.com",6,10,13,15,21,65
13,"goosecreekcandle.com",6,10,13,15,21,65
16,"tentree.ca",6,8,6,5,15,40
17,"kotn.com",20,10,17,15,27,89
19,"tactileturn.com",20,10,17,17,27,91
21,"apexroofingus.com",3,8,6,5,15,37
22,"gothamchimney.com",4,10,13,15,21,63
23,"greenwaylaw.com",6,10,13,15,21,65
26,"bostonlegal.com",3,8,6,5,15,37
27,"miamidesignbuild.com",11,10,13,15,21,70
28,"denverrealtygroup.com",13,10,13,15,21,72
31,"portlandremodel.com",3,8,6,5,15,37
32,"atlantaaccounting.com",13,10,13,15,21,72
33,"phillydentist.com",4,10,13,15,21,63
36,"detroitauto.com",15,10,6,5,15,51
37,"sandiegopets.com",6,10,13,15,21,65
38,"nashvilleevents.com",4,10,13,15,21,63
41,"singlegrain.com",10,6,6,5,15,42
42,"fostertechnologies.com",6,10,13,15,21,65
43,"animalz.co",6,10,13,16,21,66
46,"growthrock.co",18,10,16,13,27,84
47,"metalab.com",4,10,13,16,21,64
48,"barrelny.com",6,10,13,16,21,66
51,"ironcladlogistics.com",15,10,6,5,15,51
52,"apexstaffing.com",4,10,13,15,21,63
53,"summitpr.com",18,10,15,17,21,81
56,"catalystmedia.com",15,10,6,5,15,51
57,"nexusprinting.com",6,10,13,15,21,65
58,"tridentcompliance.com",6,10,13,15,21,65
61,"superthing.com",4,10,17,16,27,74
62,"ritual.com",18,10,17,17,24,86
63,"cocokind.com",6,10,13,15,21,65
66,"functionofbeauty.com",20,6,17,16,27,86
67,"floretflowers.com",6,10,13,16,21,66
68,"sakara.com",7,10,13,15,21,66
71,"therabody.com",6,8,6,5,15,40
72,"kosas.com",20,10,19,16,27,92
73,"oseamalibu.com",20,10,19,17,27,93
76,"moonjuice.com",20,8,17,16,24,85
77,"goodnessme.ca",20,10,17,16,27,90
78,"purelynatural.ca",4,10,13,15,21,63
81,"feltedsky.com",20,8,18,16,24,86
82,"makerhouse.com",20,10,19,16,27,92
83,"papermouse.com",13,10,13,15,21,72
86,"bestmadeco.com",3,8,6,5,15,37
87,"blackwing602.com",20,10,19,16,27,92
88,"fishseddy.com",4,10,13,15,21,63
91,"mcgeeandco.com",6,8,6,5,15,40
92,"jaysonhome.com",6,10,13,15,21,65
93,"mille.com",13,10,13,15,21,72
96,"baronfig.com",3,8,6,5,15,37
97,"adafruit.com",6,10,13,15,21,65
98,"coalandcanary.com",10,10,13,15,21,69
