batch,manifest_id,domain,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score
1,1,"brooklyncandlestudio.com",20,8,18,17,28.5,91.5
1,6,"rumpl.com",6,8,6,5,15,40
1,11,"ballandbuck.com",3,8,6,5,15,37
1,16,"tentree.ca",6,8,6,5,15,40
1,21,"apexroofingus.com",3,8,6,5,15,37
1,26,"bostonlegal.com",3,8,6,5,15,37
1,31,"portlandremodel.com",3,8,6,5,15,37
1,36,"detroitauto.com",15,10,6,5,15,51
1,41,"singlegrain.com",10,6,6,5,15,42
1,46,"growthrock.co",18,10,16,13,27,84
1,51,"ironcladlogistics.com",15,10,6,5,15,51
1,56,"catalystmedia.com",15,10,6,5,15,51
1,66,"functionofbeauty.com",20,6,17,16,27,86
1,71,"therabody.com",6,8,6,5,15,40
1,76,"moonjuice.com",20,8,17,16,24,85
1,81,"feltedsky.com",20,8,18,16,24,86
1,86,"bestmadeco.com",3,8,6,5,15,37
1,91,"mcgeeandco.com",6,8,6,5,15,40
1,96,"baronfig.com",3,8,6,5,15,37
1,61,"superthing.com",4,10,17,16,27,74
2,2,"pioneercarry.com",18,10,19,17,27,91
2,7,"ridge.com",10,10,13,17,21,71
2,12,"goruck.com",6,10,13,15,21,65
2,17,"kotn.com",20,10,17,15,27,89
2,22,"gothamchimney.com",4,10,13,15,21,63
2,27,"miamidesignbuild.com",11,10,13,15,21,70
2,32,"atlantaaccounting.com",13,10,13,15,21,72
2,37,"sandiegopets.com",6,10,13,15,21,65
2,42,"fostertechnologies.com",6,10,13,15,21,65
2,47,"metalab.com",4,10,13,16,21,64
2,52,"apexstaffing.com",4,10,13,15,21,63
2,57,"nexusprinting.com",6,10,13,15,21,65
2,62,"ritual.com",18,10,17,17,24,86
2,67,"floretflowers.com",6,10,13,16,21,66
2,72,"kosas.com",20,10,19,16,27,92
2,77,"goodnessme.ca",20,10,17,16,27,90
2,82,"makerhouse.com",20,10,19,16,27,92
2,87,"blackwing602.com",20,10,19,16,27,92
2,92,"jaysonhome.com",6,10,13,15,21,65
2,97,"adafruit.com",6,10,13,15,21,65
3,3,"blueland.com",6,10,13,15,21,65
3,8,"topodesigns.com",20,10,19,16,27,92
3,13,"goosecreekcandle.com",6,10,13,15,21,65
3,19,"tactileturn.com",20,10,17,17,27,91
3,23,"greenwaylaw.com",6,10,13,15,21,65
3,28,"denverrealtygroup.com",13,10,13,15,21,72
3,33,"phillydentist.com",4,10,13,15,21,63
3,38,"nashvilleevents.com",4,10,13,15,21,63
3,43,"animalz.co",6,10,13,16,21,66
3,48,"barrelny.com",6,10,13,16,21,66
3,53,"summitpr.com",18,10,15,17,21,81
3,58,"tridentcompliance.com",6,10,13,15,21,65
3,63,"cocokind.com",6,10,13,15,21,65
3,68,"sakara.com",7,10,13,15,21,66
3,73,"oseamalibu.com",20,10,19,17,27,93
3,78,"purelynatural.ca",4,10,13,15,21,63
3,83,"papermouse.com",13,10,13,15,21,72
3,88,"fishseddy.com",4,10,13,15,21,63
3,93,"mille.com",13,10,13,15,21,72
3,98,"coalandcanary.com",10,10,13,15,21,69
4,4,"harney.com",6,10,13,15,21,65
4,9,"birdwell.com",6,10,13,15,21,65
4,14,"ranchroadboots.com",6,10,13,15,21,65
4,20,"distilunion.com",20,10,19,17,27,93
4,24,"seattleplumbing.com",6,10,13,16,21,66
4,29,"austinhvac.com",6,10,13,15,21,65
4,34,"minneapolislegal.com",4,10,13,15,21,63
4,39,"torontolegal.ca",4,10,13,15,21,63
4,44,"seerinteractive.com",6,10,13,15,21,65
4,49,"veza-digital.com",4,10,13,15,21,63
4,54,"beaconanalytics.com",13,10,13,15,21,72
4,59,"momentumhr.ca",10,10,13,15,21,69
4,64,"kaged.com",6,10,13,15,21,65
4,69,"humnutrition.com",6,10,13,16,21,66
4,74,"drbronner.com",6,10,13,15,21,65
4,79,"kencko.com",6,10,13,16,21,66
4,84,"huckberry.com",7,10,13,15,24,69
4,89,"poketo.com",4,10,13,16,21,64
4,94,"goodneighbor.ca",16,10,13,16,24,79
4,99,"sprucecollective.com",16,10,13,16,24,79
