criterion_id,PASS_count,PARTIAL_count,FAIL_count,NOT_MEASURABLE_count,mean_score
C1,64,16,0,0,1.8
C2,64,16,0,0,1.8
C3,64,16,0,0,1.8
C4,64,16,0,0,1.8
C5,64,16,0,0,1.8
C6,64,16,0,0,1.8
C7,64,16,0,0,1.8
C8,64,16,0,0,1.8
C9,64,16,0,0,1.8
C10,64,16,0,0,1.8
C11,64,16,0,0,1.8
C12,64,16,0,0,1.8
C13,64,16,0,0,1.8
C14,64,16,0,0,1.8
C15,64,16,0,0,1.8
C16,64,16,0,0,1.8
C17,64,16,0,0,1.8
C18,64,16,0,0,1.8
C19,64,16,0,0,1.8
C20,64,16,0,0,1.8
C21,64,16,0,0,1.8
C22,64,16,0,0,1.8
C23,64,16,0,0,1.8
C24,64,16,0,0,1.8
C25,64,16,0,0,1.8
C26,64,16,0,0,1.8
C27,64,16,0,0,1.8
C28,64,16,0,0,1.8
C29,64,16,0,0,1.8
C30,64,16,0,0,1.8
C31,64,16,0,0,1.8
C32,64,16,0,0,1.8
C33,64,16,0,0,1.8
C34,64,16,0,0,1.8
C35,64,16,0,0,1.8
C36,64,16,0,0,1.8
C37,64,16,0,0,1.8
C38,64,16,0,0,1.8
C39,64,16,0,0,1.8
C40,64,16,0,0,1.8
C41,64,16,0,0,1.8
C42,64,16,0,0,1.8
C43,64,16,0,0,1.8
C44,64,16,0,0,1.8
C45,64,16,0,0,1.8
