batch,manifest_id,domain,stored_technical,rebuilt_technical,delta_technical,stored_ai,rebuilt_ai,delta_ai,stored_entity,rebuilt_entity,delta_entity,stored_aeo,rebuilt_aeo,delta_aeo,stored_geo,rebuilt_geo,delta_geo,stored_total,rebuilt_total,delta_total,reconciliation_status
1,1,"brooklyncandlestudio.com",20,20,0,8,8,0,18,18,0,17,17,0,28.5,28.5,0,91.5,91.5,0,"MATCH"
1,6,"rumpl.com",6,6,0,8,8,0,6,6,0,5,5,0,15,15,0,40,40,0,"MATCH"
1,11,"ballandbuck.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,16,"tentree.ca",6,6,0,8,8,0,6,6,0,5,5,0,15,15,0,40,40,0,"MATCH"
1,21,"apexroofingus.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,26,"bostonlegal.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,31,"portlandremodel.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,36,"detroitauto.com",15,15,0,10,10,0,6,6,0,5,5,0,15,15,0,51,51,0,"MATCH"
1,41,"singlegrain.com",10,10,0,6,6,0,6,6,0,5,5,0,15,15,0,42,42,0,"MATCH"
1,46,"growthrock.co",18,18,0,10,10,0,16,16,0,13,13,0,27,27,0,84,84,0,"MATCH"
1,51,"ironcladlogistics.com",15,15,0,10,10,0,6,6,0,5,5,0,15,15,0,51,51,0,"MATCH"
1,56,"catalystmedia.com",15,15,0,10,10,0,6,6,0,5,5,0,15,15,0,51,51,0,"MATCH"
1,66,"functionofbeauty.com",20,20,0,6,6,0,17,17,0,16,16,0,27,27,0,86,86,0,"MATCH"
1,71,"therabody.com",6,6,0,8,8,0,6,6,0,5,5,0,15,15,0,40,40,0,"MATCH"
1,76,"moonjuice.com",20,20,0,8,8,0,17,17,0,16,16,0,24,24,0,85,85,0,"MATCH"
1,81,"feltedsky.com",20,20,0,8,8,0,18,18,0,16,16,0,24,24,0,86,86,0,"MATCH"
1,86,"bestmadeco.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,91,"mcgeeandco.com",6,6,0,8,8,0,6,6,0,5,5,0,15,15,0,40,40,0,"MATCH"
1,96,"baronfig.com",3,3,0,8,8,0,6,6,0,5,5,0,15,15,0,37,37,0,"MATCH"
1,61,"superthing.com",4,4,0,10,10,0,17,17,0,16,16,0,27,27,0,74,74,0,"MATCH"
2,2,"pioneercarry.com",18,18,0,10,10,0,19,19,0,17,17,0,27,27,0,91,91,0,"MATCH"
2,7,"ridge.com",10,10,0,10,10,0,13,13,0,17,17,0,21,21,0,71,71,0,"MATCH"
2,12,"goruck.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
2,17,"kotn.com",20,20,0,10,10,0,17,17,0,15,15,0,27,27,0,89,89,0,"MATCH"
2,22,"gothamchimney.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
2,27,"miamidesignbuild.com",11,11,0,10,10,0,13,13,0,15,15,0,21,21,0,70,70,0,"MATCH"
2,32,"atlantaaccounting.com",13,13,0,10,10,0,13,13,0,15,15,0,21,21,0,72,72,0,"MATCH"
2,37,"sandiegopets.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
2,42,"fostertechnologies.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
2,47,"metalab.com",4,4,0,10,10,0,13,13,0,16,16,0,21,21,0,64,64,0,"MATCH"
2,52,"apexstaffing.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
2,57,"nexusprinting.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
2,62,"ritual.com",18,18,0,10,10,0,17,17,0,17,17,0,24,24,0,86,86,0,"MATCH"
2,67,"floretflowers.com",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
2,72,"kosas.com",20,20,0,10,10,0,19,19,0,16,16,0,27,27,0,92,92,0,"MATCH"
2,77,"goodnessme.ca",20,20,0,10,10,0,17,17,0,16,16,0,27,27,0,90,90,0,"MATCH"
2,82,"makerhouse.com",20,20,0,10,10,0,19,19,0,16,16,0,27,27,0,92,92,0,"MATCH"
2,87,"blackwing602.com",20,20,0,10,10,0,19,19,0,16,16,0,27,27,0,92,92,0,"MATCH"
2,92,"jaysonhome.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
2,97,"adafruit.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,3,"blueland.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,8,"topodesigns.com",20,20,0,10,10,0,19,19,0,16,16,0,27,27,0,92,92,0,"MATCH"
3,13,"goosecreekcandle.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,19,"tactileturn.com",20,20,0,10,10,0,17,17,0,17,17,0,27,27,0,91,91,0,"MATCH"
3,23,"greenwaylaw.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,28,"denverrealtygroup.com",13,13,0,10,10,0,13,13,0,15,15,0,21,21,0,72,72,0,"MATCH"
3,33,"phillydentist.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
3,38,"nashvilleevents.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
3,43,"animalz.co",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
3,48,"barrelny.com",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
3,53,"summitpr.com",18,18,0,10,10,0,15,15,0,17,17,0,21,21,0,81,81,0,"MATCH"
3,58,"tridentcompliance.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,63,"cocokind.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
3,68,"sakara.com",7,7,0,10,10,0,13,13,0,15,15,0,21,21,0,66,66,0,"MATCH"
3,73,"oseamalibu.com",20,20,0,10,10,0,19,19,0,17,17,0,27,27,0,93,93,0,"MATCH"
3,78,"purelynatural.ca",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
3,83,"papermouse.com",13,13,0,10,10,0,13,13,0,15,15,0,21,21,0,72,72,0,"MATCH"
3,88,"fishseddy.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
3,93,"mille.com",13,13,0,10,10,0,13,13,0,15,15,0,21,21,0,72,72,0,"MATCH"
3,98,"coalandcanary.com",10,10,0,10,10,0,13,13,0,15,15,0,21,21,0,69,69,0,"MATCH"
4,4,"harney.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,9,"birdwell.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,14,"ranchroadboots.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,20,"distilunion.com",20,20,0,10,10,0,19,19,0,17,17,0,27,27,0,93,93,0,"MATCH"
4,24,"seattleplumbing.com",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
4,29,"austinhvac.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,34,"minneapolislegal.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
4,39,"torontolegal.ca",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
4,44,"seerinteractive.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,49,"veza-digital.com",4,4,0,10,10,0,13,13,0,15,15,0,21,21,0,63,63,0,"MATCH"
4,54,"beaconanalytics.com",13,13,0,10,10,0,13,13,0,15,15,0,21,21,0,72,72,0,"MATCH"
4,59,"momentumhr.ca",10,10,0,10,10,0,13,13,0,15,15,0,21,21,0,69,69,0,"MATCH"
4,64,"kaged.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,69,"humnutrition.com",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
4,74,"drbronner.com",6,6,0,10,10,0,13,13,0,15,15,0,21,21,0,65,65,0,"MATCH"
4,79,"kencko.com",6,6,0,10,10,0,13,13,0,16,16,0,21,21,0,66,66,0,"MATCH"
4,84,"huckberry.com",7,7,0,10,10,0,13,13,0,15,15,0,24,24,0,69,69,0,"MATCH"
4,89,"poketo.com",4,4,0,10,10,0,13,13,0,16,16,0,21,21,0,64,64,0,"MATCH"
4,94,"goodneighbor.ca",16,16,0,10,10,0,13,13,0,16,16,0,24,24,0,79,79,0,"MATCH"
4,99,"sprucecollective.com",16,16,0,10,10,0,13,13,0,16,16,0,24,24,0,79,79,0,"MATCH"
