manifest_id,domain,business_name,cohort,industry,country,region,audit_date,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,not_measurable_count,notes
1,"brooklyncandlestudio.com","Brooklyn Candle Studio","eCommerce / D2C","Home Fragrance & Goods","USA","Northeast","2026-08-31",20,8,18,17,28.5,91.5,"WILDCARD_BLOCKED","WILDCARD_ALLOW",0,"HTTP 200; Body length 1210138 bytes; robots.txt length 5545 bytes."
6,"rumpl.com","Rumpl Outdoor Blankets","eCommerce / D2C","Outdoor Equipment","USA","West","2026-08-31",6,8,6,5,15,40,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; robots.txt length 0 bytes."
11,"ballandbuck.com","Ball and Buck Outfitters","eCommerce / D2C","American Sporting Apparel","USA","South","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; robots.txt length 0 bytes."
16,"tentree.ca","tentree Apparel","eCommerce / D2C","Sustainable Apparel","Canada","Canada","2026-08-31",6,8,6,5,15,40,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; robots.txt length 0 bytes."
21,"apexroofingus.com","Apex Roofing & Restoration","Professional & Local Services","Roofing & Building Contractor","USA","South","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; robots.txt length 0 bytes."
26,"bostonlegal.com","Boston Family Law Practice","Professional & Local Services","Legal & Family Law","USA","Northeast","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; robots.txt length 0 bytes."
31,"portlandremodel.com","Portland Home Remodeling","Professional & Local Services","Home Renovation & Carpentry","USA","West","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 408; Body length 0 bytes; robots.txt length 0 bytes."
36,"detroitauto.com","Detroit Auto Body & Repair","Professional & Local Services","Automotive Repair","USA","Midwest","2026-08-31",15,10,6,5,15,51,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; robots.txt length 66 bytes."
41,"singlegrain.com","Single Grain Digital Agency","B2B & Corporate Services","Digital Marketing & Growth","USA","West","2026-08-31",10,6,6,5,15,42,"WILDCARD_BLOCKED","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; robots.txt length 370 bytes."
46,"growthrock.co","Growth Rock CRO Agency","B2B & Corporate Services","Conversion Rate Optimization","USA","South","2026-08-31",18,10,16,13,27,84,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 130545 bytes; robots.txt length 31 bytes."
51,"ironcladlogistics.com","Ironclad Freight Logistics","B2B & Corporate Services","Freight & Supply Chain","USA","South","2026-08-31",15,10,6,5,15,51,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; robots.txt length 66 bytes."
56,"catalystmedia.com","Catalyst Video Production","B2B & Corporate Services","Commercial Video Production","USA","West","2026-08-31",15,10,6,5,15,51,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; robots.txt length 66 bytes."
66,"functionofbeauty.com","Function of Beauty Haircare","Health, Wellness & Lifestyle","Customized Personal Care","USA","Northeast","2026-08-31",20,6,17,16,27,86,"WILDCARD_BLOCKED","WILDCARD_ALLOW",0,"HTTP 200; Body length 912666 bytes; robots.txt length 5540 bytes."
71,"therabody.com","Therabody Wellness Tech","Health, Wellness & Lifestyle","Wellness & Massage Tech","USA","West","2026-08-31",6,8,6,5,15,40,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; robots.txt length 0 bytes."
76,"moonjuice.com","Moon Juice Adaptogens","Health, Wellness & Lifestyle","Adaptogenic Supplements","USA","West","2026-08-31",20,8,17,16,24,85,"WILDCARD_BLOCKED","WILDCARD_ALLOW",0,"HTTP 200; Body length 730337 bytes; robots.txt length 3612 bytes."
81,"feltedsky.com","Felted Sky Needle Felting","Miscellaneous Independent","Wool Felting & Craft Kits","USA","Midwest","2026-08-31",20,8,18,16,24,86,"WILDCARD_BLOCKED","WILDCARD_ALLOW",0,"HTTP 200; Body length 451722 bytes; robots.txt length 3618 bytes."
86,"bestmadeco.com","Best Made Axe & Tool Co.","Miscellaneous Independent","Artisanal Tools & Camp Goods","USA","Northeast","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; robots.txt length 0 bytes."
91,"mcgeeandco.com","McGee & Co. Home Goods","Miscellaneous Independent","Curated Home Furnishings","USA","West","2026-08-31",6,8,6,5,15,40,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; robots.txt length 0 bytes."
96,"baronfig.com","Baronfig EDC & Paper Goods","Miscellaneous Independent","Custom Notebooks & EDC Tools","USA","Northeast","2026-08-31",3,8,6,5,15,37,"DEFAULT_ALLOWED","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; robots.txt length 0 bytes."
61,"superthing.com","Superthing Wellness Coffee","Health, Wellness & Lifestyle","Functional Wellness & Specialty Coffee","USA","South","2026-08-31",4,10,17,16,27,74,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes."
