manifest_id,domain,business_name,cohort,industry,country,state_province,region,batch_number,assignment_method,assignment_date
1,"brooklyncandlestudio.com","Brooklyn Candle Studio","eCommerce / D2C","Home Fragrance & Goods","USA","NY","Northeast",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
2,"pioneercarry.com","Pioneer Carry Wallets","eCommerce / D2C","Wallets & Technical Gear","USA","PA","Northeast",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
3,"blueland.com","Blueland Sustainable Cleaning","eCommerce / D2C","Eco Cleaning & Home Goods","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
4,"harney.com","Harney & Sons Fine Teas","eCommerce / D2C","Specialty Tea & Gourmet","USA","NY","Northeast",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
5,"cotopaxi.com","Cotopaxi Outdoor Gear","eCommerce / D2C","Outdoor Gear & Apparel","USA","UT","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
6,"rumpl.com","Rumpl Outdoor Blankets","eCommerce / D2C","Outdoor Equipment","USA","OR","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
7,"ridge.com","The Ridge Wallet","eCommerce / D2C","Everyday Carry Accessories","USA","CA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
8,"topodesigns.com","Topo Designs Outdoor Gear","eCommerce / D2C","Outdoor Apparel & Packs","USA","CO","West",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
9,"birdwell.com","Birdwell Beach Britches","eCommerce / D2C","Surfwear & Apparel","USA","CA","West",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
10,"deathwishcoffee.com","Death Wish Coffee Co.","eCommerce / D2C","Specialty Coffee","USA","NY","Northeast",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
11,"ballandbuck.com","Ball and Buck Outfitters","eCommerce / D2C","American Sporting Apparel","USA","GA","South",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
12,"goruck.com","GORUCK Tough Equipment","eCommerce / D2C","Fitness & Rucking Gear","USA","FL","South",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
13,"goosecreekcandle.com","Goose Creek Candle Co","eCommerce / D2C","Home Fragrance & Candles","USA","KY","South",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
14,"ranchroadboots.com","Ranch Road Boots","eCommerce / D2C","Western Leather Footwear","USA","TX","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
15,"duluthpack.com","Duluth Pack Canvas Goods","eCommerce / D2C","Canvas Packs & Luggage","USA","MN","Midwest",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
16,"tentree.ca","tentree Apparel","eCommerce / D2C","Sustainable Apparel","Canada","BC","Canada",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
17,"kotn.com","Kotn Apparel","eCommerce / D2C","Ethical Apparel & Home","Canada","ON","Canada",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
18,"tactileturn.com","Tactile Turn Machined Pens","eCommerce / D2C","Machined Writing Instruments","USA","TX","South",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
19,"distilunion.com","Distil Union EDC Goods","eCommerce / D2C","Slim Wallets & Accessories","USA","SC","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
20,"peakdesign.com","Peak Design Camera Gear","eCommerce / D2C","Camera Equipment & Travel","USA","CA","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
21,"apexroofingus.com","Apex Roofing & Restoration","Professional & Local Services","Roofing & Building Contractor","USA","AL","South",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
22,"gothamchimney.com","Gotham Chimney Services","Professional & Local Services","Chimney & Hearth Services","USA","NY","Northeast",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
23,"greenwaylaw.com","Greenway Legal Partners","Professional & Local Services","Legal & Attorney Practice","USA","TX","South",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
24,"seattleplumbing.com","Seattle Plumbing & Heating","Professional & Local Services","Plumbing & Mechanical","USA","WA","West",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
25,"chicagoaccounting.com","Chicago Tax & Accounting","Professional & Local Services","Accounting & CPA Practice","USA","IL","Midwest",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
26,"bostonlegal.com","Boston Family Law Practice","Professional & Local Services","Legal & Family Law","USA","MA","Northeast",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
27,"miamidesignbuild.com","Miami Design Build Architecture","Professional & Local Services","Architecture & Residential Build","USA","FL","South",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
28,"denverrealtygroup.com","Denver Realty Group","Professional & Local Services","Residential Real Estate Brokerage","USA","CO","West",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
29,"austinhvac.com","Austin Air Conditioning & Heating","Professional & Local Services","HVAC Services","USA","TX","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
30,"phoenixlandscaping.com","Phoenix Desert Landscaping","Professional & Local Services","Landscape Architecture","USA","AZ","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
31,"portlandremodel.com","Portland Home Remodeling","Professional & Local Services","Home Renovation & Carpentry","USA","OR","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
32,"atlantaaccounting.com","Atlanta CPA Advisors","Professional & Local Services","Tax & Business Accounting","USA","GA","South",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
33,"phillydentist.com","Philadelphia Family Dentistry","Professional & Local Services","Dental Practice","USA","PA","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
34,"minneapolislegal.com","Minneapolis Business Law","Professional & Local Services","Corporate & Commercial Law","USA","MN","Midwest",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
35,"dallaselectric.com","Dallas Master Electricians","Professional & Local Services","Electrical Contracting","USA","TX","South",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
36,"detroitauto.com","Detroit Auto Body & Repair","Professional & Local Services","Automotive Repair","USA","MI","Midwest",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
37,"sandiegopets.com","San Diego Veterinary Hospital","Professional & Local Services","Veterinary Medicine","USA","CA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
38,"nashvilleevents.com","Nashville Sound & Lighting","Professional & Local Services","Event Audio/Visual Services","USA","TN","South",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
39,"torontolegal.ca","Toronto Commercial Litigation","Professional & Local Services","Legal Services","Canada","ON","Canada",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
40,"vancouverbuild.ca","Vancouver Custom Builders","Professional & Local Services","Residential Construction","Canada","BC","Canada",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
41,"singlegrain.com","Single Grain Digital Agency","B2B & Corporate Services","Digital Marketing & Growth","USA","CA","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
42,"fostertechnologies.com","Foster Tech Solutions","B2B & Corporate Services","IT & Cloud Infrastructure","USA","NY","Northeast",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
43,"animalz.co","Animalz Content Marketing","B2B & Corporate Services","Content Marketing & Strategy","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
44,"seerinteractive.com","Seer Interactive","B2B & Corporate Services","Search & Data Analytics","USA","PA","Northeast",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
45,"bravotours.com","Bravo Corporate Logistics","B2B & Corporate Services","Corporate Travel & Mobility","USA","IL","Midwest",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
46,"growthrock.co","Growth Rock CRO Agency","B2B & Corporate Services","Conversion Rate Optimization","USA","TX","South",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
