domain,industry,business_type,ecommerce,audit_date,auditor,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,notes
"ugmonk.com","Apparel & Design Goods","eCommerce / D2C","Yes","2026-08-31","Senior Technical SEO Auditor (UBE)",20,12,18,16,16.25,82.25,"WILDCARD_BLOCKED","WILDCARD_ALLOW","HTTP Status 200; HTML Length 1193846 bytes; robots.txt length 3598 bytes."
"nomadgoods.com","Consumer Electronics & Accessories","eCommerce / D2C","Yes","2026-08-31","Senior Technical SEO Auditor (UBE)",20,12,16,15,17.5,80.5,"WILDCARD_BLOCKED","WILDCARD_ALLOW","HTTP Status 200; HTML Length 499557 bytes; robots.txt length 3699 bytes."
"bellhop.com","Logistics & Moving Services","Professional / Local Services","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,7,8.75,39.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 307; HTML Length 142 bytes; robots.txt length 152 bytes."
"wrightlegal.com","Legal Services","Professional / Local Services","No","2026-08-31","Senior Technical SEO Auditor (UBE)",3,12,6,5,8.75,34.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 500; HTML Length 0 bytes; robots.txt length 0 bytes."
"klientboost.com","Digital Marketing & Growth","B2B / Corporate Services","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,7,8.75,39.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 308; HTML Length 142 bytes; robots.txt length 152 bytes."
"trellis.co","eCommerce Technology & Integration","B2B / Corporate Services","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,7,8.75,39.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 301; HTML Length 166 bytes; robots.txt length 166 bytes."
"kencko.com","Organic Nutrition & Foods","Health / Wellness / Lifestyle","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,7,8.75,39.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 301; HTML Length 167 bytes; robots.txt length 167 bytes."
"parsleyhealth.com","Holistic Primary Healthcare","Health / Wellness / Lifestyle","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,5,8.75,37.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 301; HTML Length 0 bytes; robots.txt length 0 bytes."
"spoonflower.com","Custom Fabric & Print-on-Demand","Miscellaneous Small Business","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,5,8.75,37.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 301; HTML Length 0 bytes; robots.txt length 0 bytes."
"cratejoy.com","Subscription Boxes & Niche Goods","Miscellaneous Small Business","No","2026-08-31","Senior Technical SEO Auditor (UBE)",6,12,6,5,8.75,37.75,"DEFAULT_ALLOWED","WILDCARD_ALLOW","HTTP Status 301; HTML Length 0 bytes; robots.txt length 0 bytes."
